name,format,played,wins,losses,first_played,last_played,lowest_rating,highest_rating,rating_list,pokemon_used
abomasnow46939,[Gen 2] UU,4,3,1,2023-11-05 21:28:54,2024-08-18 20:28:11,,,,"{'Politoed': 1, 'Aerodactyl': 1, 'Haunter': 3, 'Mr. Mime': 1, 'Girafarig': 1, 'Scyther': 1, 'Granbull': 1, 'Pinsir': 1, 'Electrode': 1, 'Parasect': 1, 'Qwilfish': 2, 'Piloswine': 1, 'Feraligatr': 1, 'Ampharos': 1, 'Blastoise': 1, 'Magneton': 1, 'Nidoqueen': 1, 'Jumpluff': 1, 'Gyarados': 1, 'Slowking': 1}"
abra95548,[Gen 2] UU,1,0,1,2018-01-12 04:20:13,2018-01-12 04:20:13,,,,"{'Granbull': 1, 'Crobat': 1, 'Slowbro': 1, 'Qwilfish': 1, 'Nidoqueen': 1, 'Ampharos': 1}"
absol37368,[Gen 2] UU,1,0,1,2020-03-08 21:30:49,2020-03-08 21:30:49,,,,"{'Granbull': 1, 'Qwilfish': 1, 'Magneton': 1, 'Nidoqueen': 1, 'Jumpluff': 1, 'Hypno': 1}"
absol51938,[Gen 2] UU,1,1,0,2019-06-22 18:16:55,2019-06-22 18:16:55,,,,"{'Granbull': 1, 'Crobat': 1, 'Slowbro': 1, 'Qwilfish': 1, 'Nidoqueen': 1, 'Ampharos': 1}"
absol56061,[Gen 2] UU,1,0,1,2024-12-02 01:01:54,2024-12-02 01:01:54,,,,"{'Scyther': 1, 'Qwilfish': 1, 'Haunter': 1, 'Piloswine': 1, 'Gyarados': 1, 'Hypno': 1}"
absol83147,[Gen 2] UU,1,1,0,2018-09-19 21:53:21,2018-09-19 21:53:21,,,,"{'Granbull': 1, 'Scyther': 1, 'Qwilfish': 1, 'Nidoqueen': 1, 'Electabuzz': 1}"
absorb11630,[Gen 2] UU,1,1,0,2023-12-23 18:23:57,2023-12-23 18:23:57,,,,"{'Pinsir': 1, 'Qwilfish': 1, 'Nidoqueen': 1, 'Haunter': 1, 'Hypno': 1, 'Feraligatr': 1}"
acid42394,[Gen 2] UU,1,0,1,2019-02-17 12:24:52,2019-02-17 12:24:52,,,,"{'Granbull': 1, 'Crobat': 1, 'Qwilfish': 1, 'Slowbro': 1, 'Nidoqueen': 1, 'Ampharos': 1}"
acidarmor55318,[Gen 2] UU,1,0,1,2024-01-07 10:20:19,2024-01-07 10:20:19,1030.0,1030.0,[1030.0],"{'Sandslash': 1, 'Dodrio': 1, 'Chansey': 1, 'Arcanine': 1, 'Ampharos': 1, 'Blastoise': 1}"
acupressure5238,[Gen 2] UU,10,5,5,2018-04-15 22:42:48,2020-05-19 19:34:19,,,,"{'Granbull': 2, 'Scyther': 4, 'Qwilfish': 3, 'Slowbro': 2, 'Nidoqueen': 4, 'Victreebel': 1, 'Sudowoodo': 4, 'Pineco': 4, 'Feraligatr': 6, 'Parasect': 3, 'Raichu': 4, 'Magmar': 3, 'Kingler': 1, 'Noctowl': 1, 'Tangela': 2, 'Crobat': 1, 'Graveler': 1, 'Lickitung': 1, 'Croconaw': 1, 'Delibird': 1, 'Hypno': 3, 'Haunter': 2, 'Magneton': 1, 'Dodrio': 1, 'Bellossom': 1, 'Arcanine': 1}"
