name,format,played,wins,losses,first_played,last_played,lowest_rating,highest_rating,pokemon_used
abomasnow16673,[Gen 2] UBERS,1,1,0,2024-11-20 20:21:57,2024-11-20 20:21:57,,,"{'Cloyster': 1, 'Jolteon': 1, 'Mew': 1, 'Tyranitar': 1, 'Snorlax': 1, 'Mewtwo': 1}"
abomasnow46939,[Gen 2] UBERS,1,0,1,2024-07-28 21:04:43,2024-07-28 21:04:43,,,"{'Celebi': 1, 'Umbreon': 1, 'Snorlax': 1, 'Vaporeon': 1, 'Mewtwo': 1, 'Forretress': 1}"
abomasnow98750,[Gen 2] UBERS,1,0,1,2024-07-15 20:24:59,2024-07-15 20:24:59,,,"{'Entei': 1, 'Gengar': 1, 'Cloyster': 1, 'Lugia': 1, 'Raikou': 1}"
abra98723,[Gen 2] UBERS,1,0,1,2020-07-03 18:34:37,2020-07-03 18:34:37,,,"{'Umbreon': 1, 'Kingdra': 1, 'Lugia': 1, 'Tyranitar': 1, 'Steelix': 1, 'Typhlosion': 1}"
absol60772,[Gen 2] UBERS,1,0,1,2020-07-14 05:57:45,2020-07-14 05:57:45,1000.0,1000.0,"{'Jynx': 1, 'Starmie': 1, 'Exeggutor': 1, 'Alakazam': 1, 'Hypno': 1, 'Espeon': 1}"
absorb49052,[Gen 2] UBERS,1,1,0,2018-08-29 21:32:31,2018-08-29 21:32:31,,,"{'Mew': 1, 'Snorlax': 1}"
acidarmor23766,[Gen 2] UBERS,1,1,0,2018-05-04 22:09:57,2018-05-04 22:09:57,,,"{'Arcanine': 1, 'Pinsir': 1, 'Gligar': 1, 'Venomoth': 1, 'Qwilfish': 1, 'Magneton': 1}"
acidarmor93650,[Gen 2] UBERS,4,4,0,2024-10-24 02:32:08,2024-11-15 02:06:45,,,"{'Cloyster': 4, 'Tyranitar': 4, 'Zapdos': 4, 'Snorlax': 4, 'Mewtwo': 3, 'Mew': 1}"
acupressure23834,[Gen 2] UBERS,9,5,4,2024-09-13 17:01:35,2025-03-02 22:02:28,,,"{'Gengar': 1, 'Quagsire': 1, 'Lugia': 5, 'Snorlax': 9, 'Mewtwo': 9, 'Forretress': 9, 'Celebi': 1, 'Ho-Oh': 1, 'Golem': 1, 'Raikou': 4, 'Steelix': 7, 'Tyranitar': 3, 'Zapdos': 3}"
acupressure5238,[Gen 2] UBERS,1,0,1,2019-04-13 15:00:43,2019-04-13 15:00:43,,,"{'Cloyster': 1, 'Celebi': 1, 'Zapdos': 1, 'Snorlax': 1, 'Steelix': 1, 'Ho-Oh': 1}"
acupressure87998,[Gen 2] UBERS,6,4,2,2025-03-01 23:14:33,2025-03-02 02:00:29,,,"{'Graveler': 5, 'Octillery': 6, 'Rapidash': 6, 'Porygon': 6, 'Vileplume': 6, 'Xatu': 5, 'Magnemite': 1}"
