name,format,played,wins,losses,first_played,last_played,lowest_rating,highest_rating,rating_list,pokemon_used
abomasnow16673,[Gen 4] UBERS,4,1,3,2021-02-01 00:50:39,2024-11-26 16:50:33,1068.0,1227.0,"[1227.0, 1068.0]","{'Jirachi': 2, 'Dialga': 4, 'Skarmory': 1, 'Darkrai': 2, 'Rayquaza': 2, 'Groudon': 3, 'Latias': 2, 'Kyogre': 2, 'Latios': 1, 'Mewtwo': 1, 'Deoxys-Speed': 1, 'Scizor': 2, 'Blissey': 1}"
abomasnow30183,[Gen 4] UBERS,6,4,2,2024-03-07 03:02:09,2024-11-04 09:23:16,1030.0,1245.0,"[1158.0, 1030.0, 1245.0]","{'Mewtwo': 5, 'Bronzong': 6, 'Dialga': 6, 'Palkia': 6, 'Kyogre': 6, 'Garchomp': 6}"
abomasnow42418,[Gen 4] UBERS,1,0,1,2018-08-05 21:31:29,2018-08-05 21:31:29,,,,"{'Giratina-Origin': 1, 'Kabutops': 1, 'Dialga': 1, 'Kyogre': 1, 'Froslass': 1, 'Groudon': 1}"
abomasnow54445,[Gen 4] UBERS,1,1,0,2023-06-11 21:58:31,2023-06-11 21:58:31,,,,"{'Bronzong': 1, 'Giratina-Origin': 1, 'Deoxys-Speed': 1, 'Kabutops': 1, 'Dialga': 1, 'Kyogre': 1}"
abomasnow75795,[Gen 4] UBERS,2,0,2,2025-03-10 21:51:04,2025-04-04 18:37:28,,,,"{'Latios': 1, 'Mewtwo': 1, 'Shaymin-Sky': 1, 'Deoxys-Speed': 1, 'Darkrai': 2, 'Rayquaza': 1, 'Blissey': 1, 'Lugia': 1, 'Forretress': 1, 'Groudon': 1}"
abomasnow85599,[Gen 4] UBERS,1,0,1,2014-09-28 17:13:19,2014-09-28 17:13:19,1000.0,1000.0,[1000.0],"{'Jirachi': 1, 'Giratina-Origin': 1, 'Dialga': 1, 'Kyogre': 1, 'Forretress': 1, 'Groudon': 1}"
abomasnow85960,[Gen 4] UBERS,1,1,0,2024-05-28 21:49:48,2024-05-28 21:49:48,,,,"{'Giratina': 1, 'Bronzong': 1, 'Heatran': 1, 'Latias': 1, 'Darkrai': 1, 'Groudon': 1}"
abomasnow94683,[Gen 4] UBERS,1,0,1,2018-05-13 18:10:51,2018-05-13 18:10:51,,,,"{'Giratina-Origin': 1, 'Wynaut': 1, 'Palkia': 1, 'Wobbuffet': 1, 'Darkrai': 1, 'Groudon': 1}"
abra53280,[Gen 4] UBERS,1,1,0,2019-07-21 11:43:02,2019-07-21 11:43:02,,,,"{'Jirachi': 1, 'Tyranitar': 1, 'Breloom': 1, 'Heatran': 1, 'Latias': 1, 'Gyarados': 1}"
abra69330,[Gen 4] UBERS,1,1,0,2017-04-17 14:51:51,2017-04-17 14:51:51,,,,"{'Latios': 1, 'Mew': 1, 'Mewtwo': 1, 'Jirachi': 1, 'Dialga': 1, 'Rayquaza': 1}"
abra87371,[Gen 4] UBERS,6,4,2,2025-02-05 01:10:11,2025-02-21 00:28:03,,,,"{'Heracross': 5, 'Entei': 5, 'Zapdos': 6, 'Azelf': 6, 'Cresselia': 6, 'Snorlax': 6}"
abra98726,[Gen 4] UBERS,1,0,1,2022-07-14 17:45:57,2022-07-14 17:45:57,,,,"{'Latios': 1, 'Bronzong': 1, 'Dialga': 1, 'Darkrai': 1, 'Kyogre': 1, 'Rayquaza': 1}"
absol24181,[Gen 4] UBERS,3,1,2,2014-12-04 03:38:37,2014-12-04 23:17:14,,,,"{'Metagross': 2, 'Azelf': 1, 'Tyranitar': 3, 'Scizor': 3, 'Kingdra': 2, 'Dragonite': 2, 'Jirachi': 1, 'Gengar': 1, 'Latias': 2, 'Dugtrio': 1}"
absol37368,[Gen 4] UBERS,13,8,5,2017-01-15 17:31:46,2020-04-27 17:44:42,,,,"{'Mewtwo': 2, 'Giratina-Origin': 6, 'Dialga': 8, 'Tyranitar': 3, 'Kyogre': 7, 'Tentacruel': 2, 'Deoxys-Attack': 5, 'Darkrai': 4, 'Infernape': 1, 'Nidoqueen': 1, 'Raikou': 1, 'Bronzong': 1, 'Cloyster': 1, 'Palkia': 1, 'Scizor': 1, 'Blissey': 1, 'Hippowdon': 2, 'Breloom': 2, 'Magnezone': 1, 'Skarmory': 2, 'Dragonite': 1, 'Swampert': 1, 'Lucario': 1, 'Rotom-Wash': 1, 'Heatran': 2, 'Forretress': 1, 'Shaymin': 1, 'Aerodactyl': 2, 'Starmie': 2, 'Arceus-Steel': 4, 'Gengar': 1}"
absol51729,[Gen 4] UBERS,4,1,3,2025-03-01 19:17:32,2025-03-31 23:34:27,,,,"{'Bronzong': 3, 'Dialga': 3, 'Palkia': 3, 'Darkrai': 3, 'Kyogre': 3, 'Rayquaza': 3, 'Blissey': 1, 'Giratina': 1, 'Mewtwo': 1, 'Cresselia': 1, 'Forretress': 1, 'Groudon': 1}"
absol537,[Gen 4] UBERS,1,1,0,2024-12-16 02:10:41,2024-12-16 02:10:41,,,,"{'Deoxys-Attack': 1, 'Giratina-Origin': 1, 'Arceus-Steel': 1, 'Kabutops': 1, 'Dialga': 1, 'Kyogre': 1}"
absol56061,[Gen 4] UBERS,1,1,0,2025-03-23 19:28:30,2025-03-23 19:28:30,,,,"{'Latios': 1, 'Bronzong': 1, 'Dialga': 1, 'Darkrai': 1, 'Kyogre': 1, 'Rayquaza': 1}"
absol58608,[Gen 4] UBERS,22,12,10,2018-04-17 16:01:33,2021-01-12 06:34:53,,,,"{'Mewtwo': 12, 'Bronzong': 9, 'Wobbuffet': 5, 'Darkrai': 8, 'Kingdra': 3, 'Kyogre': 12, 'Latios': 7, 'Dialga': 17, 'Rayquaza': 10, 'Jirachi': 6, 'Giratina-Origin': 3, 'Ho-Oh': 3, 'Palkia': 3, 'Garchomp': 3, 'Deoxys-Attack': 1, 'Deoxys-Speed': 4, 'Mew': 4, 'Scizor': 3, 'Kabutops': 1, 'Arceus-Ghost': 1, 'Froslass': 2, 'Latias': 4, 'Groudon': 2, 'Shaymin-Sky': 1, 'Tyranitar': 1, 'Tentacruel': 1, 'Lucario': 1}"
absol64401,[Gen 4] UBERS,1,0,1,2016-08-26 21:40:39,2016-08-26 21:40:39,,,,"{'Weavile': 1, 'Venusaur': 1, 'Palkia': 1, 'Magnezone': 1, 'Gardevoir': 1, 'Infernape': 1}"
absol83421,[Gen 4] UBERS,1,0,1,2016-08-14 11:53:37,2016-08-14 11:53:37,1000.0,1000.0,[1000.0],"{'Giratina': 1, 'Mewtwo': 1, 'Ho-Oh': 1, 'Latias': 1, 'Lugia': 1, 'Kyogre': 1}"
absol95835,[Gen 4] UBERS,6,4,2,2020-02-06 11:44:30,2020-06-08 21:32:17,,,,"{'Bronzong': 1, 'Dialga': 3, 'Palkia': 1, 'Darkrai': 1, 'Kyogre': 3, 'Giratina': 1, 'Shaymin-Sky': 1, 'Deoxys-Attack': 1, 'Scizor': 1, 'Salamence': 2, 'Swampert': 1, 'Jirachi': 3, 'Tyranitar': 4, 'Magnezone': 1, 'Latias': 3, 'Starmie': 1, 'Gyarados': 2, 'Breloom': 1, 'Heatran': 1, 'Giratina-Origin': 1, 'Skarmory': 1}"
absorb40999,[Gen 4] UBERS,1,1,0,2020-01-02 13:41:08,2020-01-02 13:41:08,,,,"{'Jirachi': 1, 'Skarmory': 1, 'Dialga': 1, 'Darkrai': 1, 'Rayquaza': 1, 'Garchomp': 1}"
absorb41425,[Gen 4] UBERS,1,0,1,2014-06-20 14:40:56,2014-06-20 14:40:56,1117.0,1117.0,[1117.0],"{'Giratina-Origin': 1, 'Deoxys-Speed': 1, 'Scizor': 1, 'Wobbuffet': 1, 'Kyogre': 1, 'Rayquaza': 1}"
absorb51782,[Gen 4] UBERS,1,0,1,2014-09-02 08:52:07,2014-09-02 08:52:07,1000.0,1000.0,[1000.0],"{'Jirachi': 1, 'Deoxys-Attack': 1, 'Giratina-Origin': 1, 'Palkia': 1, 'Kyogre': 1, 'Groudon': 1}"
absorb65546,[Gen 4] UBERS,4,2,2,2023-12-24 07:37:16,2024-06-03 22:11:05,,,,"{'Latios': 1, 'Metagross': 1, 'Deoxys-Speed': 2, 'Darkrai': 2, 'Rayquaza': 1, 'Groudon': 2, 'Giratina-Origin': 2, 'Dialga': 3, 'Kingdra': 1, 'Bronzong': 1, 'Qwilfish': 1, 'Palkia': 1, 'Kyogre': 1, 'Blissey': 1, 'Giratina': 1, 'Cresselia': 1, 'Forretress': 1}"
absorb76849,[Gen 4] UBERS,1,0,1,2016-10-08 07:36:14,2016-10-08 07:36:14,1000.0,1000.0,[1000.0],"{'Staraptor': 1, 'Mewtwo': 1, 'Ho-Oh': 1, 'Suicune': 1, 'Lugia': 1, 'Garchomp': 1}"
absorb86921,[Gen 4] UBERS,1,0,1,2023-01-10 08:28:49,2023-01-10 08:28:49,,,,"{'Blissey': 1, 'Giratina': 1, 'Cresselia': 1, 'Latias': 1, 'Forretress': 1, 'Groudon': 1}"
absorb95333,[Gen 4] UBERS,3,0,3,2020-06-21 15:33:51,2020-07-14 14:22:52,,,,"{'Latios': 1, 'Jirachi': 1, 'Giratina-Origin': 3, 'Arceus-Fighting': 1, 'Kyogre': 2, 'Froslass': 1, 'Arceus': 1, 'Kabutops': 1, 'Dialga': 1, 'Darkrai': 1, 'Deoxys': 1, 'Palkia': 1, 'Scizor': 1, 'Rayquaza': 1, 'Groudon': 1}"
acid13929,[Gen 4] UBERS,1,0,1,2016-12-13 21:53:08,2016-12-13 21:53:08,,,,"{'Ivysaur': 1, 'Dialga': 1}"
acid33758,[Gen 4] UBERS,2,0,2,2024-11-04 20:26:43,2024-11-16 21:00:15,1055.0,1101.0,"[1101.0, 1055.0]","{'Jirachi': 1, 'Dialga': 2, 'Darkrai': 1, 'Bronzong': 1, 'Blissey': 1, 'Giratina-Origin': 1, 'Ho-Oh': 1, 'Lugia': 1, 'Tentacruel': 1}"
acid81186,[Gen 4] UBERS,1,0,1,2020-04-03 17:18:49,2020-04-03 17:18:49,,,,"{'Giratina': 1, 'Arceus-Dark': 1, 'Kabutops': 1, 'Kyogre': 1, 'Skarmory': 1}"
acid96550,[Gen 4] UBERS,3,1,2,2023-04-08 12:16:42,2023-04-08 12:39:21,,,,"{'Giratina-Origin': 2, 'Tyranitar': 2, 'Palkia': 1, 'Ho-Oh': 1, 'Forretress': 1, 'Groudon': 1, 'Latios': 1, 'Jirachi': 2, 'Dialga': 2, 'Magnezone': 1, 'Gliscor': 1, 'Kyogre': 2, 'Latias': 1}"
acidarmor44270,[Gen 4] UBERS,1,0,1,2020-06-13 01:50:35,2020-06-13 01:50:35,,,,"{'Jolteon': 1, 'Mamoswine': 1, 'Tyranitar': 1, 'Gengar': 1, 'Quagsire': 1, 'Kingdra': 1}"
acidarmor58913,[Gen 4] UBERS,1,0,1,2021-01-15 20:41:27,2021-01-15 20:41:27,,,,"{'Jirachi': 1, 'Dialga': 1, 'Latias': 1, 'Kyogre': 1, 'Froslass': 1, 'Groudon': 1}"
