name,format,played,wins,losses,first_played,last_played,lowest_rating,highest_rating,rating_list,pokemon_used
abomasnow16673,[Gen 2] OU,3,1,2,2025-01-14 02:28:17,2025-03-31 19:53:02,,,,"{'Gengar': 1, 'Exeggutor': 1, 'Snorlax': 3, 'Rhydon': 2, 'Forretress': 1, 'Quagsire': 1, 'Starmie': 2, 'Zapdos': 2, 'Miltank': 1, 'Cloyster': 1, 'Raikou': 1, 'Steelix': 1}"
abomasnow22392,[Gen 2] OU,3,0,3,2020-07-19 20:27:13,2020-07-31 03:51:23,1039.0,1039.0,[1039.0],"{'Jolteon': 1, 'Blissey': 3, 'Charizard': 1, 'Meganium': 3, 'Rhydon': 1, 'Clefable': 2, 'Delibird': 1, 'Alakazam': 2, 'Raichu': 2, 'Smeargle': 1}"
abomasnow23095,[Gen 2] OU,1,1,0,2024-11-22 22:34:38,2024-11-22 22:34:38,,,,"{'Gengar': 1, 'Cloyster': 1, 'Starmie': 1, 'Zapdos': 1, 'Snorlax': 1, 'Steelix': 1}"
abomasnow23608,[Gen 2] OU,1,1,0,2017-06-18 18:48:38,2017-06-18 18:48:38,,,,"{'Starmie': 1, 'Exeggutor': 1, 'Charizard': 1, 'Tyranitar': 1, 'Snorlax': 1, 'Machamp': 1}"
abomasnow25928,[Gen 2] OU,1,0,1,2020-04-02 17:38:04,2020-04-02 17:38:04,,,,"{'Cloyster': 1, 'Exeggutor': 1, 'Zapdos': 1, 'Snorlax': 1, 'Steelix': 1, 'Vaporeon': 1}"
abomasnow30183,[Gen 2] OU,4,3,1,2024-02-23 11:45:58,2024-03-06 04:38:12,1028.0,1032.0,"[1032.0, 1028.0]","{'Zapdos': 4, 'Starmie': 4, 'Skarmory': 4, 'Marowak': 3, 'Snorlax': 2, 'Miltank': 3}"
abomasnow38323,[Gen 2] OU,1,0,1,2016-04-25 23:50:14,2016-04-25 23:50:14,1000.0,1000.0,[1000.0],"{'Cloyster': 1, 'Jolteon': 1, 'Blissey': 1, 'Exeggutor': 1, 'Heracross': 1, 'Forretress': 1}"
abomasnow42311,[Gen 2] OU,6,2,4,2018-07-30 20:39:59,2018-08-11 21:07:17,,,,"{'Suicune': 3, 'Umbreon': 3, 'Nidoking': 6, 'Tyranitar': 6, 'Machamp': 3, 'Dragonite': 3, 'Exeggutor': 3, 'Raikou': 3, 'Snorlax': 3, 'Vaporeon': 3}"
abomasnow63026,[Gen 2] OU,1,0,1,2018-05-26 20:49:51,2018-05-26 20:49:51,1000.0,1000.0,[1000.0],"{'Suicune': 1, 'Umbreon': 1, 'Raikou': 1, 'Tyranitar': 1, 'Heracross': 1, 'Typhlosion': 1}"
abomasnow63436,[Gen 2] OU,1,1,0,2019-03-22 22:22:22,2019-03-22 22:22:22,,,,"{'Exeggutor': 1, 'Zapdos': 1, 'Snorlax': 1, 'Steelix': 1, 'Vaporeon': 1, 'Forretress': 1}"
