year_month,count,format,total,percentage
2009-04,1,[Gen 4] OU,1,100.0
2009-08,1,[Gen 4] UU,3,33.33333333333333
2009-08,1,[Gen 4] OU,3,33.33333333333333
2009-08,1,[Gen 4] UBERS,3,33.33333333333333
2009-09,1,[Gen 4] OU,1,100.0
2010-02,1,[Gen 4] OU,1,100.0
2011-01,1,[Gen 4] UBERS,3,33.33333333333333
2011-01,1,[Gen 4] UU,3,33.33333333333333
2011-01,1,[Gen 4] OU,3,33.33333333333333
2011-04,1,[Gen 4] OU,1,100.0
2011-11,1,[Gen 4] OU,1,100.0
2012-07,1,[Gen 4] OU,1,100.0
2012-12,1,[Gen 4] OU,1,100.0
2013-06,1,[Gen 4] OU,1,100.0
2013-07,1,[Gen 4] OU,1,100.0
2013-12,1,[Gen 4] OU,1,100.0
2014-06,96,[Gen 4] UU,518,18.53281853281853
2014-06,122,[Gen 4] UBERS,518,23.552123552123554
2014-06,300,[Gen 4] OU,518,57.91505791505791
2014-07,412,[Gen 4] OU,501,82.23552894211576
2014-07,71,[Gen 4] UBERS,501,14.171656686626747
2014-07,18,[Gen 4] UU,501,3.592814371257485
2014-08,23,[Gen 4] UU,553,4.159132007233273
2014-08,471,[Gen 4] OU,553,85.17179023508137
2014-08,59,[Gen 4] UBERS,553,10.669077757685352
2014-09,647,[Gen 4] OU,679,95.28718703976435
2014-09,28,[Gen 4] UBERS,679,4.123711340206185
2014-09,4,[Gen 4] UU,679,0.5891016200294551
2014-10,5,[Gen 4] UU,696,0.7183908045977011
2014-10,10,[Gen 4] UBERS,696,1.4367816091954022
2014-10,681,[Gen 4] OU,696,97.84482758620689
2014-11,41,[Gen 4] UBERS,431,9.51276102088167
2014-11,388,[Gen 4] OU,431,90.02320185614849
2014-11,2,[Gen 4] UU,431,0.46403712296983757
2014-12,9,[Gen 4] UU,334,2.694610778443114
2014-12,39,[Gen 4] UBERS,334,11.676646706586826
2014-12,286,[Gen 4] OU,334,85.62874251497006
2015-01,346,[Gen 4] OU,412,83.98058252427184
2015-01,21,[Gen 4] UBERS,412,5.097087378640777
2015-01,45,[Gen 4] UU,412,10.922330097087379
2015-02,16,[Gen 4] UU,306,5.228758169934641
2015-02,22,[Gen 4] UBERS,306,7.18954248366013
2015-02,268,[Gen 4] OU,306,87.58169934640523
2015-03,1528,[Gen 4] OU,1661,91.99277543648404
2015-03,67,[Gen 4] UBERS,1661,4.0337146297411195
2015-03,66,[Gen 4] UU,1661,3.9735099337748347
2015-04,172,[Gen 4] UU,2680,6.4179104477611935
2015-04,2434,[Gen 4] OU,2680,90.82089552238806
2015-04,74,[Gen 4] UBERS,2680,2.7611940298507465
2015-05,2236,[Gen 4] OU,2372,94.2664418212479
2015-05,65,[Gen 4] UBERS,2372,2.740303541315346
2015-05,71,[Gen 4] UU,2372,2.993254637436762
2015-06,31,[Gen 4] UU,1454,2.1320495185694637
2015-06,31,[Gen 4] UBERS,1454,2.1320495185694637
2015-06,1392,[Gen 4] OU,1454,95.73590096286108
2015-07,1571,[Gen 4] OU,1667,94.24115176964607
2015-07,53,[Gen 4] UBERS,1667,3.179364127174565
2015-07,43,[Gen 4] UU,1667,2.579484103179364
2015-08,18,[Gen 4] UU,1242,1.4492753623188406
2015-08,76,[Gen 4] UBERS,1242,6.119162640901772
2015-08,1148,[Gen 4] OU,1242,92.4315619967794
2015-09,1371,[Gen 4] OU,1426,96.14305750350631
2015-09,26,[Gen 4] UU,1426,1.8232819074333801
2015-09,29,[Gen 4] UBERS,1426,2.0336605890603083
2015-10,1554,[Gen 4] OU,1608,96.64179104477611
2015-10,28,[Gen 4] UBERS,1608,1.7412935323383085
2015-10,26,[Gen 4] UU,1608,1.616915422885572
2015-11,39,[Gen 4] UU,1947,2.0030816640986133
