year_month,count,format,total,percentage
2005-05,1,[Gen 3] OU,1,100.0
2006-03,1,[Gen 3] OU,1,100.0
2009-04,1,[Gen 3] OU,1,100.0
2010-06,1,[Gen 3] OU,1,100.0
2010-10,1,[Gen 3] OU,1,100.0
2011-11,1,[Gen 3] OU,1,100.0
2012-07,1,[Gen 3] OU,1,100.0
2012-12,1,[Gen 3] OU,1,100.0
2013-05,2,[Gen 3] OU,2,100.0
2013-06,1,[Gen 3] OU,1,100.0
2013-12,2,[Gen 3] OU,2,100.0
2014-06,9,[Gen 3] OU,9,100.0
2014-07,16,[Gen 3] OU,16,100.0
2015-03,345,[Gen 3] OU,358,96.36871508379889
2015-03,13,[Gen 3] UBERS,358,3.6312849162011176
2015-04,1148,[Gen 3] OU,1239,92.65536723163842
2015-04,91,[Gen 3] UBERS,1239,7.344632768361582
2015-05,132,[Gen 3] UBERS,1332,9.90990990990991
2015-05,1200,[Gen 3] OU,1332,90.09009009009009
2015-06,586,[Gen 3] OU,612,95.75163398692811
2015-06,26,[Gen 3] UBERS,612,4.248366013071895
2015-07,471,[Gen 3] OU,482,97.71784232365145
2015-07,11,[Gen 3] UBERS,482,2.2821576763485476
2015-08,531,[Gen 3] OU,550,96.54545454545455
2015-08,19,[Gen 3] UBERS,550,3.4545454545454546
2015-09,26,[Gen 3] UBERS,471,5.520169851380043
2015-09,445,[Gen 3] OU,471,94.47983014861995
2015-10,10,[Gen 3] UBERS,521,1.9193857965451053
2015-10,511,[Gen 3] OU,521,98.0806142034549
2015-11,674,[Gen 3] OU,693,97.25829725829726
2015-11,7,[Gen 3] UU,693,1.0101010101010102
2015-11,12,[Gen 3] UBERS,693,1.7316017316017316
2015-12,25,[Gen 3] UBERS,773,3.2341526520051747
2015-12,9,[Gen 3] UU,773,1.1642949547218628
2015-12,739,[Gen 3] OU,773,95.60155239327295
2016-01,109,[Gen 3] UBERS,802,13.591022443890274
2016-01,15,[Gen 3] UU,802,1.8703241895261846
2016-01,678,[Gen 3] OU,802,84.53865336658353
2016-02,72,[Gen 3] UBERS,737,9.76933514246947
2016-02,1,[Gen 3] UU,737,0.13568521031207598
2016-02,664,[Gen 3] OU,737,90.09497964721845
2016-03,975,[Gen 3] OU,1007,96.8222442899702
2016-03,8,[Gen 3] UU,1007,0.7944389275074478
2016-03,24,[Gen 3] UBERS,1007,2.3833167825223436
2016-04,10,[Gen 3] UU,1717,0.5824111822947
2016-04,26,[Gen 3] UBERS,1717,1.5142690739662201
2016-04,1681,[Gen 3] OU,1717,97.90331974373908
2016-05,70,[Gen 3] UBERS,1213,5.7708161582852435
2016-05,1142,[Gen 3] OU,1213,94.14674361088211
2016-05,1,[Gen 3] UU,1213,0.08244023083264633
2016-06,24,[Gen 3] UU,1328,1.8072289156626504
2016-06,54,[Gen 3] UBERS,1328,4.066265060240964
2016-06,1250,[Gen 3] OU,1328,94.12650602409639
2016-07,1679,[Gen 3] OU,1740,96.49425287356321
2016-07,52,[Gen 3] UBERS,1740,2.9885057471264367
2016-07,9,[Gen 3] UU,1740,0.5172413793103449
2016-08,1551,[Gen 3] OU,1625,95.44615384615385
2016-08,74,[Gen 3] UBERS,1625,4.5538461538461545
2016-09,73,[Gen 3] UBERS,1505,4.850498338870432
2016-09,67,[Gen 3] NU,1505,4.451827242524916
2016-09,1362,[Gen 3] OU,1505,90.4983388704319
2016-09,3,[Gen 3] UU,1505,0.19933554817275745
2016-10,2,[Gen 3] UU,2168,0.09225092250922509
2016-10,2,[Gen 3] NU,2168,0.09225092250922509
2016-10,2114,[Gen 3] OU,2168,97.50922509225092
2016-10,50,[Gen 3] UBERS,2168,2.3062730627306274
2016-11,46,[Gen 3] UU,1681,2.7364663890541343
2016-11,1609,[Gen 3] OU,1681,95.71683521713265
2016-11,26,[Gen 3] UBERS,1681,1.5466983938132064
2016-12,52,[Gen 3] UBERS,1933,2.690118986032074
2016-12,8,[Gen 3] UU,1933,0.4138644593895499
2016-12,1873,[Gen 3] OU,1933,96.89601655457838
2017-01,50,[Gen 3] UBERS,3361,1.487652484379649
2017-01,3311,[Gen 3] OU,3361,98.51234751562035
2017-02,1824,[Gen 3] OU,1925,94.75324675324676
2017-02,101,[Gen 3] UBERS,1925,5.246753246753247
2017-03,32,[Gen 3] UBERS,1769,1.8089315997738835
2017-03,1737,[Gen 3] OU,1769,98.19106840022611
