year_month,count,format,total,percentage
2010-06,3,[Gen 1] OU,3,100.0
2014-12,26,[Gen 1] OU,26,100.0
2015-01,240,[Gen 1] OU,240,100.0
2015-02,122,[Gen 1] OU,122,100.0
2015-03,159,[Gen 1] OU,159,100.0
2015-04,132,[Gen 1] OU,132,100.0
2015-05,347,[Gen 1] OU,347,100.0
2015-06,274,[Gen 1] OU,291,94.15807560137456
2015-06,17,[Gen 1] UBERS,291,5.841924398625429
2015-07,217,[Gen 1] OU,247,87.85425101214574
2015-07,30,[Gen 1] UBERS,247,12.145748987854251
2015-08,76,[Gen 1] OU,94,80.85106382978722
2015-08,18,[Gen 1] UBERS,94,19.148936170212767
2015-09,196,[Gen 1] OU,196,100.0
2015-10,2,[Gen 1] UBERS,201,0.9950248756218906
2015-10,199,[Gen 1] OU,201,99.00497512437812
2015-11,314,[Gen 1] OU,315,99.68253968253968
2015-11,1,[Gen 1] UBERS,315,0.31746031746031744
2015-12,284,[Gen 1] OU,284,100.0
2016-01,6,[Gen 1] UBERS,689,0.8708272859216255
2016-01,677,[Gen 1] OU,689,98.25834542815674
2016-01,6,[Gen 1] UU,689,0.8708272859216255
2016-02,847,[Gen 1] OU,853,99.2966002344666
2016-02,2,[Gen 1] NU,853,0.23446658851113714
2016-02,4,[Gen 1] UBERS,853,0.4689331770222743
2016-03,43,[Gen 1] UBERS,859,5.005820721769499
2016-03,815,[Gen 1] OU,859,94.87776484284052
2016-03,1,[Gen 1] NU,859,0.11641443538998836
2016-04,909,[Gen 1] OU,966,94.09937888198758
2016-04,51,[Gen 1] UBERS,966,5.279503105590062
2016-04,6,[Gen 1] NU,966,0.6211180124223602
2016-05,651,[Gen 1] OU,661,98.48714069591527
2016-05,4,[Gen 1] UBERS,661,0.6051437216338881
2016-05,6,[Gen 1] NU,661,0.9077155824508321
2016-06,97,[Gen 1] UU,875,11.085714285714285
2016-06,5,[Gen 1] UBERS,875,0.5714285714285714
2016-06,773,[Gen 1] OU,875,88.34285714285714
2016-07,976,[Gen 1] OU,1116,87.45519713261649
2016-07,85,[Gen 1] UBERS,1116,7.616487455197133
2016-07,55,[Gen 1] UU,1116,4.92831541218638
2016-08,12,[Gen 1] UU,1026,1.1695906432748537
2016-08,22,[Gen 1] UBERS,1026,2.144249512670565
2016-08,992,[Gen 1] OU,1026,96.68615984405457
2016-09,5,[Gen 1] UBERS,657,0.76103500761035
2016-09,646,[Gen 1] OU,657,98.32572298325722
2016-09,6,[Gen 1] UU,657,0.91324200913242
2016-10,13,[Gen 1] UU,633,2.0537124802527646
2016-10,9,[Gen 1] UBERS,633,1.4218009478672986
2016-10,611,[Gen 1] OU,633,96.52448657187995
2016-11,653,[Gen 1] OU,659,99.08952959028832
2016-11,1,[Gen 1] NU,659,0.15174506828528073
2016-11,4,[Gen 1] UBERS,659,0.6069802731411229
2016-11,1,[Gen 1] UU,659,0.15174506828528073
2016-12,1083,[Gen 1] OU,1091,99.26672777268561
2016-12,8,[Gen 1] UBERS,1091,0.7332722273143905
2017-01,1760,[Gen 1] OU,1815,96.96969696969697
2017-01,9,[Gen 1] NU,1815,0.49586776859504134
2017-01,46,[Gen 1] UBERS,1815,2.5344352617079893
2017-02,40,[Gen 1] UBERS,1062,3.766478342749529
2017-02,1022,[Gen 1] OU,1062,96.23352165725048
2017-03,899,[Gen 1] OU,904,99.44690265486726
2017-03,5,[Gen 1] UBERS,904,0.5530973451327433
2017-04,15,[Gen 1] UBERS,1507,0.9953550099535502
2017-04,1492,[Gen 1] OU,1507,99.00464499004646
2017-05,1392,[Gen 1] OU,1409,98.79347054648687
2017-05,17,[Gen 1] UBERS,1409,1.20652945351313
2017-06,5,[Gen 1] UBERS,873,0.572737686139748
2017-06,868,[Gen 1] OU,873,99.42726231386025
2017-07,1033,[Gen 1] OU,1051,98.2873453853473
2017-07,18,[Gen 1] UBERS,1051,1.7126546146527115
2017-08,26,[Gen 1] UBERS,827,3.143893591293833
2017-08,801,[Gen 1] OU,827,96.85610640870617
2017-09,990,[Gen 1] OU,1007,98.31181727904668
2017-09,17,[Gen 1] UBERS,1007,1.6881827209533267
2017-10,29,[Gen 1] UBERS,866,3.348729792147806
2017-10,837,[Gen 1] OU,866,96.65127020785219
2017-11,847,[Gen 1] OU,864,98.0324074074074
2017-11,17,[Gen 1] UBERS,864,1.9675925925925926
2017-12,31,[Gen 1] UBERS,1081,2.8677150786308974
2017-12,943,[Gen 1] OU,1081,87.2340425531915
2017-12,107,[Gen 1] UU,1081,9.898242368177614
2018-01,4,[Gen 1] UU,1309,0.30557677616501144
2018-01,1265,[Gen 1] OU,1309,96.63865546218487
2018-01,40,[Gen 1] UBERS,1309,3.055767761650115
